username,start,end,gained
gimjimthorne,-1,15779522,15779523
fe tzkal zuk,28279800,33338427,5058627
dynamicdan47,107812130,112773086,4960956
dang frick,111630164,116348013,4717849
holy cicero,125133384,129383417,4250033
wf solo123,441513731,445546495,4032764
zatterr,35428373,37489641,2061268
s7c,336358889,338262536,1903647
jebaithead,335574050,337464712,1890662
w10,277656841,279538724,1881883
urmomsfavgim,63124647,64842200,1717553
gg dirty oar,42339493,43992221,1652728
fecanadian,91399035,93032586,1633551
an echidna,25174410,26789235,1614825
mudlogger,96093718,97605069,1511351
noxmo im,128323092,129827927,1504835
zompp,17409395,18845777,1436382
lonely gizzy,49669777,51057048,1387271
basher offe,56407033,57574496,1167463
ed portland,55335448,56477148,1141700
oi boi harry,76565163,77645130,1079967
im sofat,14283175,15261529,978354
adduhsunn,99357267,100228021,870754
gimp josh,46936901,47797454,860553
siteofgrace,9513243,10365314,852071
misthicc,133904019,134700966,796947
mattmcpoyle,37535805,38322178,786373
hcim 3p1c,38247460,38965543,718083
4th dag king,11289495,11914845,625350
chrismcpoyle,49060045,49649575,589530
orfnd,70433464,70935899,502435
ded jonesboi,28519250,28982153,462903
jana petit,16583319,16862203,278884
xilzen,193034987,193300506,265519
n v king,12989358,13181120,191762
letsafk,46164971,46337670,172699
1 life uwu,23090463,23261237,170774
yookster,38676573,38767874,91301
solo tetsu,123642916,123730450,87534
xlrx,77262777,77343000,80223
irongoat dzl,4062997,4128874,65877
wagsgimp,12998734,13059369,60635
fe sleek,28502883,28539156,36273
akamao,63304785,63340211,35426
canadiantm,317057653,317086202,28549
belle jr,3499592,3500466,874
zalar,196290145,196290145,0
wizard of oz,199697414,199697414,0
guinnessiron,137438305,137438305,0
ozziah,213683573,213683573,0
iron crystal,107845259,107845259,0
bondcloud,133742132,133742132,0
justyn,242573326,242573326,0
ippp,94629795,94629795,0
fluffanator,120173900,120173900,0
fm20,31514540,31514540,0
ironrodent,21647607,21647607,0
arena proof,163368801,163368801,0
noodlebonk,99046941,99046941,0
chubbsy,48856473,48856473,0
im vallhalla,48637837,48637837,0
trxsh panda,45741435,45741435,0
itswonky,84778684,84778684,0
zuft,7027142,7027142,0
de ep stroke,50735627,50735627,0
heavydrip,77066023,77066023,0
iron tesoro,82973925,82973925,0
soft matt,49141469,49141469,0
unwize,64222943,64222943,0
qoqu,26510475,26510475,0
phlipantphox,36186688,36186688,0
yagami l,108471073,108471073,0
im folzee,62294908,62294908,0
katwista,21466853,21466853,0
cyril0,65950020,65950020,0
airau,119413067,119413067,0
fireburnzhc,18070477,18070477,0
iron slimeyy,11186267,11186267,0
ironailuue,87609200,87609200,0
toiress,49248321,49248321,0
colins hat,181754638,181754638,0
s h a q,111474081,111474081,0
iron oddish,21019144,21019144,0
ga je,11014125,11014125,0
thomathyy,56929891,56929891,0
iron 0ddish,39551762,39551762,0
cerevisiae,16243447,16243447,0
oi boi flarg,33418800,33418800,0
whyverngim,43454322,43454322,0
oi boi zyd,75399000,75399000,0
mtannapurna,68203966,68203966,0
ncy,52951448,52951448,0
cal jacobs,59436369,59436369,0
ui joe,14013553,14013553,0
medianman,73278461,73278461,0
impercaholic,55012085,55012085,0
dgj zynthese,26720770,26720770,0
just kray,33200545,33200545,0
7daybender,27718470,27718470,0
rp druidie,35107950,35107950,0
f e o x,47143580,47143580,0
pariq,21678198,21678198,0
ilayca,31960930,31960930,0
az timealara,71066838,71066838,0
ironnyana,25957247,25957247,0
sun beamin,39351920,39351920,0
grumpyrunn,31590353,31590353,0
ay karambwa,50718437,50718437,0
gator alpha,21070197,21070197,0
pub parma,43410144,43410144,0
az decimus,73074749,73074749,0
zeryte,70836327,70836327,0
vonzillaz,10837449,10837449,0
oi boi rat,14727270,14727270,0
dead near,19563033,19563033,0
waste,168190661,168190661,0
tempest im,45918150,45918150,0
illestiron,34576606,34576606,0
exstrawberry,28560159,28560159,0
im luckie,128724277,128724277,0
aussie fe,103672659,103672659,0
solo eyedea,36649086,36649086,0
iron s0uid,4559068,4559068,0
the iron riz,26384305,26384305,0
vanwild,107593751,107593751,0
imskrt,111424792,111424792,0
uim knee,40711532,40711532,0
sir millzy98,36882471,36882471,0
kefs ironman,41258344,41258344,0
gim aprii,39377097,39377097,0
x goobi x,56329112,56329112,0
clueblaris,92400208,92400208,0
i saltydwarf,18438448,18438448,0
sensei gunna,24646517,24646517,0
yaung chap,27685207,27685207,0
fartrock,5146348,5146348,0
lax iron,153669709,153669709,0
hemphammer,4529617,4529617,0
muruliini,14918894,14918894,0
thepetfarm12,36331368,36331368,0
fruit soup,110824851,110824851,0
vonhinten030,139609949,139609949,0
gim squiid,65396737,65396737,0
kxatta,68034583,68034583,0
iron cwr18,27153550,27153550,0
mintbabyy,15262080,15262080,0
cessna 185,113046533,113046533,0
traw jr,14070316,14070316,0
fat yams,32557300,32557300,0
iotalics,27015832,27015832,0
danglerfish,16842692,16842692,0
maoene,139481616,139481616,0
ironpiecount,33523505,33523505,0
happymuffehn,54786398,54786398,0
didier0xin,66554663,66554663,0
hc ncy,26514585,26514585,0
iron choobs,99302455,99302455,0
stonesnekbad,26558989,26558989,0
wasted tab,25812927,25812927,0
fe brello,15846562,15846562,0
sebbedreng,69659080,69659080,0
clue goo,68024289,68024289,0
irondecent,12917681,12917681,0
kyrakishuun,37121517,37121517,0
swap dad,45038306,45038306,0
uimnoah,23347336,23347336,0
im vesuri,68466815,68466815,0
gim kodatt,40877649,40877649,0
lugialvlbtw,124747167,124747167,0
ohio druid,34698625,34698625,0
sf 10a,32478225,32478225,0
oi boi rifty,69303544,69303544,0
zatter,78804235,78804235,0
upchurch uwu,34876717,34876717,0
schelter,68313618,68313618,0
gimpetfarm,35149417,35149417,0
fekingsguard,16146191,16146191,0
iron shmuel,36477469,36477469,0
brellobrello,128611251,128611251,0
lils,21081269,21081269,0
rp warmantle,21363851,21363851,0
im phobos,77042659,77042659,0
oi boi gashi,30051033,30051033,0
m2 ryder,49694089,49694089,0
big solo,19247807,19247807,0
prfectending,26263492,26263492,0
stormsrule22,29051230,29051230,0
gim luongos,17106512,17106512,0
waffle4days,13065793,13065793,0
half baked,89435453,89435453,0
notampy,121280652,121280652,0
ooloomglee,11860006,11860006,0
marmadukeog,19677183,19677183,0
chomskeets,14972448,14972448,0
bingo ball,69061805,69061805,0
adams gimp,12462330,12462330,0
iron sf 10a,24130879,24130879,0
iron mythz,82454872,82454872,0
wf nobank123,32215735,32215735,0
selaphiell,461270425,461270425,0
